"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Cdkal1","MDZB","Homozygous - Viable"
"BC023829","MECU","Homozygous - Viable"
"Zkscan17","MUBB","Homozygous - Lethal"
"Ccdc116","ET8171","Homozygous - Viable"
"Kcnj3","BL3601","Homozygous - Viable"
"Prkcdbp","BL2012","Homozygous - Viable"
"Bbs4","JR24661","Homozygous - Subviable"
"Scn3b","MEAU","Homozygous - Viable"
"4933402N03Rik","MFAX","Homozygous - Viable"
"Vps33b","MEXC","Homozygous - Lethal"
"Dbn1","ET6714","Homozygous - Subviable"
"Slc6a5","BL3902","Homozygous - Lethal"
"Glt8d2","MDJD","Homozygous - Subviable"
"Rhbdf2","BL2322","Homozygous - Viable"
"Gpc5","MDCM","Homozygous - Viable"
"Myo7b","JR24673","Homozygous - Viable"
"Ikzf5","RIKEN-Ikzf5-C06_","Homozygous - Viable"
"Rab43","JR23059","Homozygous - Viable"
"Rgp1","JR22345","Homozygous - Lethal"
"Ttc28","TCPA0127Cre","Homozygous - Viable"
